date,open,high,low,close,volume,pct_change
2020-01-02,2770.116,2793.483,2770.116,2781.714,2459788500,
2020-01-03,2785.871,2788.252,2767.875,2779.455,1734820500,-0.08120892370675481
2020-01-06,2771.599,2798.491,2765.062,2775.567,2437983300,-0.1398835383195629
2020-01-07,2777.414,2794.563,2774.842,2794.123,1943239300,0.6685480840491254
2020-01-08,2787.916,2791.488,2765.032,2772.291,1928838200,-0.7813542925633521
2020-01-09,2788.945,2798.742,2783.203,2798.617,1813883600,0.9496117110361135
2020-01-10,2801.833,2804.267,2772.437,2785.909,1360756600,-0.4540814266475235
2020-01-13,2785.984,2800.859,2774.753,2800.859,1605932900,0.5366291576645033
2020-01-14,2804.535,2814.066,2799.584,2801.588,1518725800,0.02602772935018649
2020-01-15,2804.864,2805.69,2782.637,2788.181,1268633500,-0.4785500223444705
2020-01-16,2803.055,2803.298,2779.664,2780.45,1565978100,-0.2772775512063341
2020-01-17,2798.976,2800.922,2775.329,2781.848,1288151800,0.050279630994998215
2020-01-20,2779.807,2785.987,2766.58,2782.943,1348020200,0.03936232317509614
2020-01-21,2773.287,2773.287,2727.17,2728.502,1756671000,-1.9562384137943312
2020-01-22,2718.466,2738.853,2689.465,2732.37,1603637000,0.14176276946105126
2020-01-23,2714.372,2717.323,2643.679,2657.882,2170093500,-2.7261315268429898
2020-02-03,2408.483,2446.098,2408.483,2429.552,3695529000,-8.590674830560573
2020-02-04,2375.552,2474.384,2375.552,2473.132,2961065600,1.7937463367732054
2020-02-05,2477.093,2525.836,2467.713,2500.793,2215558500,1.118460316715808
2020-02-06,2503.127,2525.054,2484.79,2520.013,2136598600,0.7685562139689184
2020-02-07,2513.715,2517.117,2486.881,2517.117,1811282300,-0.11492004207913631
2020-02-10,2504.1,2556.56,2494.977,2556.263,1895996900,1.5551919120167845
2020-02-11,2559.389,2582.096,2549.81,2566.589,2045736400,0.4039490459315065
2020-02-12,2560.657,2575.783,2552.972,2575.323,1459737500,0.3402960115546305
2020-02-13,2571.519,2581.916,2557.527,2559.276,1689368900,-0.6231063055003205
2020-02-14,2555.175,2576.377,2553.633,2576.281,1469790700,0.6644457260569059
2020-02-17,2573.696,2626.053,2572.736,2625.84,2083242100,1.9236643828837163
2020-02-18,2622.943,2636.83,2606.933,2621.546,1767431400,-0.1635286232215316
2020-02-19,2615.843,2635.269,2612.711,2621.766,1666930600,0.008391994647438672
2020-02-20,2625.722,2663.508,2615.899,2660.527,2136618800,1.4784309507408278
2020-02-21,2659.476,2687.036,2654.549,2676.004,1899683400,0.5817268533640174
2020-02-24,2664.447,2668.131,2636.841,2656.869,2058443100,-0.7150587218853088
2020-02-25,2618.756,2628.495,2576.261,2624.347,2235701900,-1.2240723949882293
2020-02-26,2596.83,2664.038,2593.96,2631.992,2703428000,0.29131056220843554
2020-02-27,2638.209,2650.668,2622.087,2627.938,1865888300,-0.15402782379277946
2020-02-28,2565.751,2593.201,2538.176,2549.531,2706806400,-2.983593981288757
2020-03-02,2562.255,2642.724,2562.255,2636.954,2471245700,3.4289836052199485
2020-03-03,2663.43,2669.888,2626.264,2640.207,2349293300,0.12336203058527229
2020-03-04,2629.02,2666.491,2625.458,2665.845,1922765900,0.9710602236870036
2020-03-05,2678.673,2695.216,2668.701,2690.052,2826309400,0.9080422905307861
2020-03-06,2663.735,2669.884,2650.003,2658.8,1987925700,-1.1617619287656922
2020-03-09,2621.457,2621.457,2588.433,2591.087,3065344000,-2.5467504137204777
2020-03-10,2572.621,2636.174,2567.675,2631.22,2474337600,1.5488866255745082
2020-03-11,2632.497,2644.843,2609.87,2609.997,1926987800,-0.8065840180600636
2020-03-12,2582.441,2593.319,2562.734,2574.509,2104562500,-1.3596950494579096
2020-03-13,2475.36,2546.544,2465.566,2528.107,2706947400,-1.8023630913700406
2020-03-16,2538.834,2539.147,2459.352,2464.535,2591209900,-2.514608756670511
2020-03-17,2465.579,2492.765,2409.633,2451.035,2276833300,-0.5477706747926026
2020-03-18,2464.23,2476.808,2411.666,2411.788,2033086500,-1.6012419243299214
2020-03-19,2404.905,2417.484,2341.245,2375.531,2609300500,-1.5033245044755228
2020-03-20,2397.714,2407.894,2369.312,2400.154,1940151200,1.0365261493114675
2020-03-23,2350.936,2355.599,2320.94,2321.85,1704772200,-3.262457325654944
2020-03-24,2354.305,2377.498,2335.703,2375.148,1799089200,2.2954971251373024
2020-03-25,2416.765,2437.182,2405.71,2433.14,1884098700,2.4416162698071675
2020-03-26,2417.239,2425.751,2406.809,2408.625,1523304400,-1.007545805009158
2020-03-27,2429.877,2448.82,2420.495,2423.227,1569754200,0.6062379988582611
2020-03-30,2401.415,2413.043,2382.111,2399.886,1686541100,-0.96321970661436
2020-03-31,2417.223,2419.921,2390.633,2396.44,1579227100,-0.1435901538656359
2020-04-01,2391.944,2412.726,2377.422,2379.588,1265475000,-0.7032097611456956
2020-04-02,2370.348,2413.143,2367.31,2413.143,1381244500,1.4101180540496916
2020-04-03,2406.721,2413.815,2391.969,2399.906,1207919100,-0.5485377368850575
2020-04-07,2427.431,2441.296,2421.763,2436.495,1717594000,1.5246013802207248
2020-04-08,2428.107,2438.773,2417.912,2432.931,1318380800,-0.14627569520970773
2020-04-09,2441.063,2448.435,2432.529,2439.161,1021470900,0.2560697364619058
2020-04-10,2440.82,2443.369,2410.342,2414.74,1162343900,-1.0012049225122999
2020-04-13,2406.778,2411.388,2397.504,2408.841,1048375600,-0.24429131086576295
2020-04-14,2413.248,2433.307,2413.224,2433.047,1209481400,1.004881600736618
2020-04-15,2433.278,2433.915,2417.202,2419.254,1065598800,-0.5669023245338134
2020-04-16,2412.241,2421.033,2405.979,2414.598,1062642300,-0.19245602156697794
2020-04-17,2424.616,2436.437,2419.314,2423.82,1521106200,0.3819269294516259
