date,open,high,low,close,volume,pct_change
2020-01-02,5306.668,5374.908,5288.168,5366.138,14589440500,
2020-01-03,5376.033,5395.259,5351.805,5380.637,12845202100,0.27019431852106646
2020-01-06,5365.217,5481.55,5355.024,5434.85,15958741400,1.0075572836450553
2020-01-07,5441.903,5499.84,5440.692,5499.84,14414272200,1.1958011720654582
2020-01-08,5481.984,5500.16,5409.569,5423.797,15540684700,-1.3826402222610223
2020-01-09,5465.857,5497.543,5457.35,5497.543,13243166700,1.3596747813386045
2020-01-10,5511.674,5516.095,5455.252,5480.228,11381982100,-0.3149588825407945
2020-01-13,5478.316,5559.627,5447.732,5559.627,11807618100,1.4488265816677837
2020-01-14,5576.629,5583.72,5539.9,5542.332,12981138300,-0.3110820204305087
2020-01-15,5532.961,5545.101,5492.651,5530.027,11242502000,-0.22201845721260272
2020-01-16,5539.421,5559.018,5514.691,5527.668,11189727600,-0.04265801957206161
2020-01-17,5539.723,5555.412,5499.467,5510.045,10494932900,-0.31881437163012727
2020-01-20,5523.01,5587.536,5500.594,5587.536,11540300100,1.4063587502461505
2020-01-21,5581.01,5581.98,5515.193,5523.942,12460480800,-1.1381403180221183
2020-01-22,5502.587,5597.994,5440.2,5575.513,12347477000,0.933590540957896
2020-01-23,5521.792,5558.426,5326.932,5377.741,14577307100,-3.5471534188871945
2020-02-03,4896.895,4960.746,4896.895,4910.901,8177708400,-8.680968458689254
2020-02-04,4736.123,5013.77,4736.123,4996.474,18967227900,1.7425112011013821
2020-02-05,5035.409,5178.438,5026.408,5123.962,17109533900,2.551559359660449
2020-02-06,5128.186,5299.178,5100.482,5282.892,18595745600,3.1017013787377756
2020-02-07,5287.269,5329.356,5226.7,5327.037,19114764200,0.8356218525762182
2020-02-10,5322.009,5389.039,5301.412,5388.435,17670328200,1.1525731846803389
2020-02-11,5390.526,5396.956,5323.76,5361.277,15250817700,-0.5040053373567721
2020-02-12,5345.522,5461.674,5340.487,5459.946,15104147300,1.8404010835478157
2020-02-13,5456.659,5482.795,5397.232,5412.842,15820264200,-0.8627191550978797
2020-02-14,5407.474,5474.468,5375.926,5420.803,14534649600,0.14707615703544175
2020-02-17,5454.463,5594.437,5454.463,5594.437,17463665700,3.2031047798637857
2020-02-18,5607.84,5660.814,5577.898,5660.814,18509870100,1.186482214385487
2020-02-19,5654.178,5678.819,5601.392,5603.263,18564208500,-1.0166559084965554
2020-02-20,5619.52,5712.183,5580.067,5706.713,19207602600,1.8462456607872824
2020-02-21,5704.836,5822.397,5700.952,5784.032,20723623900,1.3548780182216946
2020-02-24,5784.575,5884.14,5754.679,5865.467,21809896200,1.4079278952813468
2020-02-25,5745.617,5912.274,5643.884,5897.722,26736667800,0.5499135874432515
2020-02-26,5824.048,5885.27,5724.499,5743.393,26637508000,-2.616756096675965
