date,open,high,low,close,volume,pct_change
2014-06-20,1475.937,1485.165,1474.436,1484.479,1338516100,0.4357804061871251
2014-06-23,1483.656,1489.313,1474.926,1475.76,1305632200,-0.5873441119746414
2014-06-24,1471.734,1481.15,1470.589,1480.128,1265998000,0.29598308668075113
2014-06-25,1477.093,1477.093,1466.396,1469.954,1171418900,-0.6873729839581455
2014-06-26,1471.646,1480.829,1471.607,1478.006,1303932200,0.5477722432130516
2014-06-27,1475.72,1480.817,1468.21,1473.756,1632084000,-0.2875495769300018
2014-06-30,1475.719,1486.955,1475.719,1482.405,1656844500,0.5868678397237925
2014-07-01,1486.792,1488.141,1476.392,1481.663,1519737700,-0.05005379771384488
2014-07-02,1481.331,1486.405,1476.581,1484.841,1672272500,0.21448871976961215
2014-07-03,1481.849,1492.102,1479.056,1489.545,1718850600,0.31680159693867616
2014-07-04,1489.816,1495.039,1489.465,1492.463,1584462000,0.1958987476041285
2014-07-07,1493.068,1497.718,1488.512,1492.836,1596980200,0.024992244363852834
2014-07-08,1491.721,1493.835,1484.126,1491.964,1372506900,-0.058412310528421774
2014-07-09,1490.945,1491.968,1474.869,1475.137,1872713400,-1.1278422267561372
2014-07-10,1475.177,1478.71,1468.734,1471.168,1657442800,-0.26905975512783176
2014-07-11,1462.349,1474.074,1460.906,1468.541,1821782800,-0.17856560229694285
2014-07-14,1468.692,1482.995,1466.407,1482.777,1982969200,0.9693975176723102
2014-07-15,1481.109,1487.2,1478.441,1484.662,2157233600,0.1271263312015325
2014-07-16,1482.327,1490.191,1480.595,1483.176,2454217600,-0.10009012152261132
2014-07-17,1479.121,1479.286,1468.382,1473.668,1648474100,-0.6410567592787353
2014-07-18,1466.577,1486.271,1464.753,1478.755,2090198000,0.34519308283820216
2014-07-21,1478.725,1483.619,1474.799,1479.837,1676029600,0.07316965961230437
2014-07-22,1476.225,1500.499,1475.597,1495.927,2484082800,1.0872819101022557
2014-07-23,1495.247,1512.367,1494.934,1506.755,2857820800,0.7238321121284752
